locale,name,script,script_type,mean_delta,n_models,old,new
oc,Occitan,Latn,alphabet,0.016199999999999992,2,0.9189,0.9351
ca,Catalan,Latn,alphabet,0.016199999999999992,2,0.9189,0.9351
mic,Mi'kmaw,Latn,alphabet,0.016177777777777774,9,0.9191666666666668,0.9353444444444445
dje,Zarma,Latn,alphabet,0.01597777777777777,9,0.919088888888889,0.9350666666666666
khq,Koyra Chiini,Latn,alphabet,0.01597777777777777,9,0.919088888888889,0.9350666666666666
twq,Tasawaq,Latn,alphabet,0.01597777777777777,9,0.919088888888889,0.9350666666666666
ses,Koyraboro Senni,Latn,alphabet,0.01597777777777777,9,0.919088888888889,0.9350666666666666
moh,Mohawk,Latn,alphabet,0.015659999999999962,5,0.92174,0.9374
cho,Choctaw,Latn,alphabet,0.01560714285714278,14,0.9218000000000001,0.9374071428571428
sc,Sardinian,Latn,alphabet,0.01539999999999997,2,0.9231,0.9385
lt,Lithuanian,Latn,alphabet,0.015185714285714294,7,0.9241,0.9392857142857143
ce,Chechen,Cyrl,alphabet,0.014981818181818197,11,0.9251454545454546,0.9401272727272727
os,Ossetic,Cyrl,alphabet,0.014981818181818197,11,0.9251454545454546,0.9401272727272727
kam,Kamba,Latn,alphabet,0.014800000000000035,5,0.9259000000000001,0.9407
ebu,Embu,Latn,alphabet,0.01429999999999998,5,0.9286,0.9429000000000001
mer,Meru,Latn,alphabet,0.01429999999999998,5,0.9286,0.9429000000000001
cic,Chickasaw,Latn,alphabet,0.01428571428571422,14,0.9285785714285714,0.9428642857142856
jv,Javanese,Latn,alphabet,0.013799999999999923,2,0.931,0.9448
ig,Igbo,Latn,alphabet,0.013466666666666675,9,0.9325444444444445,0.9460111111111112
uz,Uzbek,Latn,alphabet,0.013320000000000044,5,0.9333199999999999,0.94664
tk,Turkmen,Latn,alphabet,0.013300000000000034,4,0.93335,0.94665
cad,Caddo,Latn,alphabet,0.013300000000000025,14,0.93335,0.94665
ast,Asturian,Latn,alphabet,0.013188888888888868,9,0.9340333333333333,0.9472222222222223
se,Northern Sami,Latn,alphabet,0.012536363636363628,11,0.935409090909091,0.9479454545454545
et,Estonian,Latn,alphabet,0.012499999999999956,2,0.9328000000000001,0.9453
it,Italian,Latn,alphabet,0.012499999999999956,2,0.9375,0.95
an,Aragonese,Latn,alphabet,0.012499999999999956,2,0.9375,0.95
rm,Romansh,Latn,alphabet,0.012499999999999956,2,0.9375,0.95
nv,Navajo,Latn,alphabet,0.01233636363636363,11,0.9384090909090909,0.9507454545454546
lag,Langi,Latn,alphabet,0.012118181818181816,11,0.9394000000000001,0.9515181818181818
es,Spanish,Latn,alphabet,0.0121,2,0.9394,0.9515
ann,Obolo,Latn,alphabet,0.012078571428571423,14,0.9395785714285714,0.9516571428571429
sg,Sango,Latn,alphabet,0.011699999999999933,2,0.9412,0.9529
no,Norwegian,Latn,alphabet,0.011699999999999933,2,0.9412,0.9529
qu,Quechua,Latn,alphabet,0.011699999999999933,5,0.9412,0.9529
gl,Galician,Latn,alphabet,0.011699999999999933,2,0.9412,0.9529
haw,Hawaiian,Latn,alphabet,0.011199999999999988,4,0.9444,0.9556
fur,Friulian,Latn,alphabet,0.01090000000000002,2,0.9459,0.9568
fy,Western Frisian,Latn,alphabet,0.010724999999999985,4,0.94645,0.957175
pl,Polish,Latn,alphabet,0.010399999999999965,3,0.9479333333333333,0.9583333333333334
pt,Portuguese,Latn,alphabet,0.010300000000000031,2,0.94485,0.9551499999999999
seh,Sena,Latn,alphabet,0.010300000000000031,2,0.94485,0.9551499999999999
lld,lld,Latn,alphabet,0.00979999999999992,2,0.9512,0.961
cs,Czech,Latn,alphabet,0.00978333333333333,6,0.9499833333333334,0.9597666666666668
pcm,Nigerian Pidgin,Latn,alphabet,0.00968888888888887,9,0.9514222222222222,0.9611111111111111
br,Breton,Latn,alphabet,0.00965999999999998,5,0.9517,0.96136
scn,Sicilian,Latn,alphabet,0.00955714285714285,7,0.9523857142857144,0.9619428571428571
mus,Muscogee,Latn,alphabet,0.009499999999999953,5,0.9524000000000001,0.9619
nl,Dutch,Latn,alphabet,0.009475000000000039,4,0.9527,0.962175
hsb,Upper Sorbian,Latn,alphabet,0.009333333333333341,3,0.9536666666666666,0.9630000000000001
wae,Walser,Latn,alphabet,0.009219999999999983,5,0.9523400000000001,0.9615600000000001
to,Tongan,Latn,alphabet,0.008880000000000065,5,0.95558,0.9644600000000001
wo,Wolof,Latn,alphabet,0.008871428571428561,7,0.9556428571428572,0.9645142857142857
tr,Turkish,Latn,alphabet,0.00886666666666669,3,0.9555666666666666,0.9644333333333334
ga,Irish,Latn,alphabet,0.00869999999999993,2,0.9565,0.9652
