model,locale,name,script,script_type,old_score,new_score,norm_score,comparability,delta
mistralai/Mixtral-8x22B-v0.1,ckb,Central Kurdish,Arab,abjad,0.9515,0.9515,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,co,Corsican,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cop,Coptic,Copt,alphabet,0.2,0.2,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cs,Czech,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,csw,Swampy Cree,Cans,syllabary,0.2,0.2,,within_script_only,0.0
mistralai/Mixtral-8x22B-v0.1,cu,Church Slavic,Cyrl,alphabet,0.5889,0.5889,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cv,Chuvash,Cyrl,alphabet,0.9135,0.9135,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cy,Welsh,Latn,alphabet,0.9184,0.9184,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,da,Danish,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dav,Taita,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,de,German,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dje,Zarma,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,doi,Dogri,Deva,abugida,0.6914,0.6914,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dsb,Lower Sorbian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dua,Duala,Latn,alphabet,0.9515,0.9515,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dv,Divehi,Thaa,abjad,0.2,0.2,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dyo,Jola-Fonyi,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,dz,Dzongkha,Tibt,abugida,0.3793,0.3793,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ebu,Embu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ee,Ewe,Latn,alphabet,0.9833,0.9833,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,el,Greek,Grek,alphabet,0.9111,0.9111,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,en,English,Latn,alphabet,1.0,1.0,,direct,0.0
